Name,Hash,Id,Tag,Rarity,Tier,Type,Source,Category,Element,Ammo,Power,Archetype,Masterwork Type,Masterwork Tier,Owner,Locked,Equipped,Holofoil,Year,Season,Event,Recoil,AA,Impact,Range,Zoom,Blast Radius,Velocity,Persistence,Stability,ROF,Reload,Mag,Handling,Charge Time,Draw Time,Accuracy,Charge Rate,Guard Resistance,Guard Endurance,Swing Speed,Shield Duration,Airborne Effectiveness,Ammo Generation,Heat Generated,Cooling Efficiency,Crafted,Crafted Level,Kill Tracker,Foundry,Loadouts,Notes,Perks 0,Perks 1,Perks 2,Perks 3,Perks 4,Perks 5,Perks 6,Perks 7,Perks 8,Perks 9,Perks 10,Perks 11,Perks 12,Perks 13,Perks 14,Perks 15,Perks 16,Perks 17,Perks 18
21% Delirium,3001598094,"""6917530194326119289""",keep,Legendary,5,Machine Gun,gambit,Power,Arc,heavy,492,Rapid-Fire Frame,Stability,2,Vault,true,false,false,8,28,,90,70,25,44,16,0,0,0,49,900,39,108,60,0,0,0,0,0,0,0,0,16,45,0,0,false,0,0,,,,Rapid-Fire Frame*,Arrowhead Brake*,Chambered Compensator,Extended Mag*,Light Mag,Overflow*,Reconstruction,Trickle Charge,Killing Tally*,One for All,Jolting Feedback,Gun and Run*,Kill Tracker,Tier 2: Stability*,Triumphant Pulse*,,,,
21% Delirium,3001598094,"""6917530194346284975""",infuse,Legendary,5,Machine Gun,gambit,Power,Arc,heavy,497,Rapid-Fire Frame,Reload Speed,1,Vault,true,false,false,8,28,,60,70,25,59,16,0,0,0,38,900,40,108,44,0,0,0,0,0,0,0,0,16,45,0,0,false,0,0,,,,Rapid-Fire Frame*,Full Bore*,Hammer-Forged Rifling,Extended Mag*,Alloy Magazine,Overflow*,Trickle Charge,Fourth Time's the Charm,Killing Tally*,Mega Kill Clip,Rolling Storm,Gun and Run*,Kill Tracker,Tier 1: Reload Speed*,Triumphant Pulse*,,,,
21% Delirium,3001598094,"""6917530194346288929""",infuse,Legendary,5,Machine Gun,gambit,Power,Arc,heavy,499,Rapid-Fire Frame,Stability,2,Vault,true,false,false,8,28,,60,70,25,44,16,0,0,0,55,900,39,108,64,0,0,0,0,0,0,0,0,16,45,0,0,false,0,0,,,,Rapid-Fire Frame*,Fluted Barrel*,Full Bore,Extended Mag*,Light Mag,Overflow*,Fourth Time's the Charm,Feeding Frenzy,Killing Tally*,Rolling Storm,Frenzy,Gun and Run*,Kill Tracker,Tier 2: Stability*,Triumphant Pulse*,,,,
A Fine Memorial,3211332727,"""6917530197744697448""",,Legendary,3,Machine Gun,monumentoftriumph,Power,Arc,heavy,540,Adaptive Frame,Reload Speed,1,Vault,false,false,false,8,28,,100,61,41,41,16,0,0,0,37,450,50,62,68,0,0,0,0,0,0,0,0,6,46,0,0,false,0,0,,,,Adaptive Frame*,Arrowhead Brake*,Extended Barrel,Appended Mag*,High-Caliber Rounds,Auto-Loading Holster*,Lead From Light,Gear Shift*,Mega Kill Clip,Loss*,Kill Tracker,Tier 1: Reload Speed*,,,,,,,
A Good Shout,3615748501,"""6917530196844757531""",,Legendary,5,Combat Bow,monumentoftriumph,Power,Void,heavy,550,High-Impact Frame,Persistence,2,Vault,true,false,false,8,28,,0,82,47,0,19,0,55,49,0,0,61,0,28,0,0,0,0,0,0,0,0,16,60,0,0,false,0,0,,,,High-Impact Frame*,Empowered Rail*,Frictionless Rail,Spring-Auger Bolts*,Heavy Bolts,No Distractions*,Bolt Scavenger,Built to Blast,Butterfly*,High Ground,Rampage,Problem Solver*,Vanguard Determination,Kill Tracker,Tier 2: Persistence*,Infamous A Good Shout*,Roguish Bolts*,,
A Good Shout,3615748501,"""6917530196885177991""",,Legendary,5,Combat Bow,monumentoftriumph,Power,Void,heavy,550,High-Impact Frame,Handling,1,Vault,true,false,false,8,28,,0,82,47,0,19,0,86,7,0,0,61,0,38,0,0,0,0,0,0,0,0,16,60,0,0,false,0,0,,,,High-Impact Frame*,Mag-lev Rail*,Low-Profile Rail,Spring-Auger Bolts*,Charged Bolts,No Distractions*,Withering Gaze,Envious Arsenal,Butterfly*,Box Breathing,Rampage,Problem Solver*,Vanguard Determination,Kill Tracker,Tier 1: Handling*,Infamous A Good Shout*,Roguish Bolts*,,
A Good Shout,3615748501,"""6917530197187913962""",,Legendary,5,Combat Bow,monumentoftriumph,Power,Void,heavy,550,High-Impact Frame,Handling,3,Vault,true,false,false,8,28,,0,82,47,0,19,0,86,7,0,0,59,0,40,0,0,0,0,0,0,0,0,16,62,0,0,false,0,0,,,,High-Impact Frame*,Mag-lev Rail*,Empowered Rail,Explosive Bolts*,Charged Bolts,No Distractions*,Built to Blast,Envious Arsenal,Butterfly*,Box Breathing,High Ground,Problem Solver*,Vanguard Determination,Kill Tracker,Tier 3: Handling*,Infamous A Good Shout*,Roguish Bolts*,,
A Good Shout,3615748501,"""6917530197733920174""",,Legendary,5,Combat Bow,monumentoftriumph,Power,Void,heavy,550,High-Impact Frame,Handling,2,Vault,true,false,false,8,28,,0,82,47,0,19,0,55,47,0,0,64,0,30,0,0,0,0,0,0,0,0,16,62,0,0,false,0,0,,,,High-Impact Frame*,Empowered Rail*,Frictionless Rail,Explosive Bolts*,Charged Bolts,No Distractions*,Built to Blast,Envious Arsenal,High Ground*,Destabilizing Rounds,Demoralize,Problem Solver*,Vanguard Determination,Kill Tracker,Tier 2: Handling*,Infamous A Good Shout*,Roguish Bolts*,,
Adored,1405095983,"""6917530192880399216""",,Legendary,3,Sniper Rifle,monumentoftriumph,Energy,Arc,special,385,Adaptive Frame,Reload Speed,1,Vault,true,false,false,8,28,,100,68,70,50,45,0,0,0,46,90,19,5,57,0,0,0,0,0,0,0,0,12,36,0,0,false,0,0,,,,Adaptive Frame*,Arrowhead Brake*,Hammer-Forged Rifling,Extended Mag*,Alloy Magazine,Fourth Time's the Charm*,Supercharged Magazine,Opening Shot*,No Distractions,Problem Solver*,Vanguard Determination,Kill Tracker,Tier 1: Reload Speed*,,,,,,
Adored,1405095983,"""6917530193796180656""",,Legendary,2,Sniper Rifle,monumentoftriumph,Energy,Arc,special,439,Adaptive Frame,Range,1,Vault,false,false,false,8,28,,100,68,70,51,45,0,0,0,51,90,38,5,57,0,0,0,0,0,0,0,0,2,36,0,0,false,0,0,,,,Adaptive Frame*,Arrowhead Brake*,Smallbore,Appended Mag*,Tactical Mag,Snapshot Sights*,Closing Time*,Problem Solver*,Vanguard Determination,Kill Tracker,Tier 1: Range*,,,,,,,,
